coordinate_X,coordinate_Y,rssi_Value,rolling_mean_rssi,zone
0.0,0.0,-20,-20.071428571428573,Personal
0.0,0.0,-18,-19.933333333333334,Personal
0.0,0.0,-22,-20.0625,Personal
0.0,0.0,-20,-20.058823529411764,Personal
0.0,0.0,-21,-20.11111111111111,Personal
0.0,0.0,-17,-19.94736842105263,Personal
0.0,0.0,-23,-20.1,Personal
0.0,0.0,-22,-20.19047619047619,Personal
0.0,0.0,-24,-20.363636363636363,Personal
0.0,0.0,-22,-20.434782608695652,Personal
0.0,0.0,-24,-20.583333333333332,Personal
0.0,0.0,-24,-20.72,Personal
0.0,0.0,-22,-20.76923076923077,Personal
0.0,0.0,-27,-21.0,Personal
0.0,0.0,-25,-21.142857142857142,Personal
0.0,0.0,-24,-24.0,Personal
0.0,0.0,-22,-23.0,Personal
0.0,0.0,-22,-22.666666666666668,Personal
0.0,0.0,-22,-22.5,Personal
0.0,0.0,-22,-22.4,Personal
0.0,0.0,-22,-22.333333333333332,Personal
0.0,0.0,-22,-22.285714285714285,Personal
0.0,0.0,-22,-22.25,Personal
0.0,0.0,-22,-22.22222222222222,Personal
0.0,0.0,-22,-22.2,Personal
0.0,0.0,-22,-22.181818181818183,Personal
0.0,0.0,-22,-22.166666666666668,Personal
0.0,0.0,-22,-22.153846153846153,Personal
0.0,0.0,-22,-22.142857142857142,Personal
0.0,0.0,-21,-22.066666666666666,Personal
0.0,0.0,-20,-21.9375,Personal
0.0,0.0,-20,-21.823529411764707,Personal
0.0,0.0,-20,-21.72222222222222,Personal
0.0,0.0,-20,-21.63157894736842,Personal
0.0,0.0,-20,-21.55,Personal
0.0,0.0,-20,-21.476190476190474,Personal
0.0,0.0,-20,-21.40909090909091,Personal
0.0,0.0,-20,-21.347826086956523,Personal
0.0,0.0,-20,-21.291666666666668,Personal
0.0,0.0,-21,-21.28,Personal
0.0,0.0,-20,-21.23076923076923,Personal
