coordinate_X,coordinate_Y,rssi_Value,rolling_mean_rssi,zone
0.0,0.0,-63,-62.62204724409449,Personal
0.0,0.0,-63,-62.625,Personal
0.0,0.0,-63,-62.627906976744185,Personal
0.0,0.0,-63,-62.63076923076923,Personal
0.0,0.0,-62,-62.62595419847328,Personal
0.0,0.0,-62,-62.621212121212125,Personal
0.0,0.0,-62,-62.61654135338346,Personal
0.0,0.0,-62,-62.61194029850746,Personal
0.0,0.0,-62,-62.60740740740741,Personal
0.0,0.0,-62,-62.60294117647059,Personal
0.0,0.0,-63,-62.605839416058394,Personal
0.0,0.0,-63,-62.608695652173914,Personal
0.0,0.0,-68,-62.64748201438849,Personal
0.0,0.0,-68,-62.68571428571428,Personal
0.0,0.0,-67,-62.716312056737586,Personal
0.0,0.0,-67,-62.74647887323944,Personal
0.0,0.0,-67,-62.77622377622377,Personal
0.0,0.0,-67,-62.80555555555556,Personal
0.0,0.0,-68,-62.84137931034483,Personal
0.0,0.0,-67,-62.86986301369863,Personal
0.0,0.0,-67,-62.89795918367347,Personal
0.0,0.0,-68,-62.932432432432435,Personal
0.0,0.0,-68,-62.966442953020135,Personal
0.0,0.0,-68,-63.0,Personal
0.0,0.0,-68,-63.033112582781456,Personal
0.0,0.0,-68,-63.06578947368421,Personal
0.0,0.0,-68,-63.09803921568628,Personal
0.0,0.0,-68,-63.12987012987013,Personal
0.0,0.0,-68,-63.16129032258065,Personal
0.0,0.0,-67,-63.18589743589744,Personal
0.0,0.0,-67,-63.210191082802545,Personal
0.0,0.0,-67,-63.234177215189874,Personal
0.0,0.0,-67,-63.257861635220124,Personal
0.0,0.0,-67,-63.28125,Personal
0.0,0.0,-64,-63.285714285714285,Personal
0.0,0.0,-64,-63.29012345679013,Personal
0.0,0.0,-64,-63.29447852760736,Personal
0.0,0.0,-64,-63.298780487804876,Personal
0.0,0.0,-64,-63.303030303030305,Personal
0.0,0.0,-64,-63.30722891566265,Personal
0.0,0.0,-64,-63.31137724550898,Personal
0.0,0.0,-64,-63.31547619047619,Personal
0.0,0.0,-64,-63.319526627218934,Personal
0.0,0.0,-64,-63.3235294117647,Personal
0.0,0.0,-63,-63.32163742690059,Personal
0.0,0.0,-63,-63.31976744186046,Personal
0.0,0.0,-63,-63.31791907514451,Personal
0.0,0.0,-63,-63.31609195402299,Personal
0.0,0.0,-63,-63.31428571428572,Personal
0.0,0.0,-63,-63.3125,Personal
0.0,0.0,-64,-63.31638418079096,Personal
0.0,0.0,-64,-63.32022471910113,Personal
0.0,0.0,-64,-63.324022346368714,Personal
0.0,0.0,-64,-63.327777777777776,Personal
0.0,0.0,-64,-63.331491712707184,Personal
0.0,0.0,-64,-63.33516483516483,Personal
0.0,0.0,-64,-63.33879781420765,Personal
0.0,0.0,-64,-63.34239130434783,Personal
0.0,0.0,-64,-63.34594594594594,Personal
0.0,0.0,-63,-63.344086021505376,Personal
0.0,0.0,-64,-63.3475935828877,Personal
0.0,0.0,-64,-63.351063829787236,Personal
0.0,0.0,-64,-63.354497354497354,Personal
0.0,0.0,-64,-63.357894736842105,Personal
0.0,0.0,-64,-63.361256544502616,Personal
0.0,0.0,-64,-63.364583333333336,Personal
0.0,0.0,-65,-63.373056994818654,Personal
0.0,0.0,-65,-63.381443298969074,Personal
0.0,0.0,-65,-63.38974358974359,Personal
0.0,0.0,-65,-63.39795918367347,Personal
0.0,0.0,-65,-63.40609137055838,Personal
