,coordinate_X,coordinate_Y,rssi_Value,rolling_mean_rssi,zone
361,0.0,0.5,-55,-52.26086956521739,personal_space
362,0.0,0.5,-50,-52.166666666666664,personal_space
363,0.0,0.5,-50,-52.08,personal_space
364,0.0,0.5,-50,-52.0,personal_space
365,0.0,0.5,-55,-52.125,personal_space
366,0.0,0.5,-54,-52.2,personal_space
367,0.0,0.5,-54,-52.32,personal_space
368,0.0,0.5,-54,-52.44,personal_space
369,0.0,0.5,-54,-52.458333333333336,personal_space
370,0.0,0.5,-50,-52.391304347826086,personal_space
371,0.0,0.5,-55,-52.52173913043478,personal_space
372,0.0,0.5,-54,-52.47826086956522,personal_space
373,0.0,0.5,-50,-52.391304347826086,personal_space
374,0.0,0.5,-55,-52.5,personal_space
375,0.0,0.5,-50,-52.333333333333336,personal_space
376,0.0,0.5,-50,-52.166666666666664,personal_space
377,0.0,0.5,-50,-52.09090909090909,personal_space
378,0.0,0.5,-51,-52.04347826086956,personal_space
379,0.0,0.5,-50,-51.958333333333336,personal_space
380,0.0,0.5,-55,-52.166666666666664,personal_space
381,0.0,0.5,-52,-52.16,personal_space
382,0.0,0.5,-51,-52.12,personal_space
383,0.0,0.5,-50,-52.208333333333336,personal_space
384,0.0,0.5,-55,-52.22727272727273,personal_space
385,0.0,0.5,-50,-52.22727272727273,personal_space
386,0.0,0.5,-54,-52.40909090909091,personal_space
387,0.0,0.5,-55,-52.40909090909091,personal_space
388,0.0,0.5,-50,-52.22727272727273,personal_space
389,0.0,0.5,-51,-52.17391304347826,personal_space
390,0.0,0.5,-54,-52.17391304347826,personal_space
391,0.0,0.5,-51,-51.9,personal_space
392,0.0,0.5,-50,-51.80952380952381,personal_space
393,0.0,0.5,-50,-51.61904761904762,personal_space
394,0.0,0.5,-52,-51.714285714285715,personal_space
395,0.0,0.5,-54,-51.75,personal_space
396,0.0,0.5,-50,-51.75,personal_space
397,0.0,0.5,-52,-51.76190476190476,personal_space
398,0.0,0.5,-50,-51.68181818181818,personal_space
399,0.0,0.5,-52,-51.69565217391305,personal_space
400,0.0,0.5,-51,-51.666666666666664,personal_space
