coordinate_X,coordinate_Y,rssi_Value,rolling_mean_rssi,zone
0.0,0.0,-28,-27.88888888888889,Personal
0.0,0.0,-31,-28.2,Personal
0.0,0.0,-31,-28.454545454545453,Personal
0.0,0.0,-32,-28.75,Personal
0.0,0.0,-31,-28.923076923076923,Personal
0.0,0.0,-31,-29.071428571428573,Personal
0.0,0.0,-31,-29.2,Personal
0.0,0.0,-32,-29.375,Personal
0.0,0.0,-31,-29.470588235294116,Personal
0.0,0.0,-32,-29.61111111111111,Personal
0.0,0.0,-32,-29.736842105263158,Personal
0.0,0.0,-31,-31.0,Personal
0.0,0.0,-30,-30.5,Personal
0.0,0.0,-28,-29.666666666666668,Personal
0.0,0.0,-25,-28.5,Personal
0.0,0.0,-25,-27.8,Personal
0.0,0.0,-25,-27.333333333333332,Personal
0.0,0.0,-25,-27.0,Personal
0.0,0.0,-25,-26.75,Personal
0.0,0.0,-25,-26.555555555555557,Personal
0.0,0.0,-25,-26.4,Personal
0.0,0.0,-25,-26.272727272727273,Personal
0.0,0.0,-28,-26.416666666666668,Personal
0.0,0.0,-25,-26.307692307692307,Personal
0.0,0.0,-25,-26.214285714285715,Personal
0.0,0.0,-27,-26.266666666666666,Personal
0.0,0.0,-25,-26.1875,Personal
0.0,0.0,-25,-26.11764705882353,Personal
0.0,0.0,-25,-26.055555555555557,Personal
0.0,0.0,-25,-26.0,Personal
0.0,0.0,-25,-25.95,Personal
0.0,0.0,-30,-26.142857142857142,Personal
0.0,0.0,-25,-26.09090909090909,Personal
0.0,0.0,-30,-26.26086956521739,Personal
0.0,0.0,-25,-26.208333333333332,Personal
0.0,0.0,-30,-26.36,Personal
0.0,0.0,-25,-26.307692307692307,Personal
0.0,0.0,-25,-26.25925925925926,Personal
